start_adr_sec,end_adr_sec,start_guide_sec,end_guide_sec,duration_sec,reason,severity,value
8.600000,9.300000,8.460000,8.460000,0.700000,PLATEAU,2,0.000000
9.500000,10.770000,8.610000,8.610000,1.270000,PLATEAU,2,0.000000
