t_adr_sec,t_guide_sec
0.000000,0.000000
1.400000,1.400000
2.300000,1.440000
4.450000,3.380000
4.950000,3.660000
6.950000,5.440000
8.150000,6.640000
8.800000,7.100000
9.750000,7.980000
10.250000,8.200000
11.600000,9.370000
12.000000,9.800000
12.020000,10.285000
