t_adr_sec,t_guide_sec
0.000000,0.000000
1.450000,1.400000
2.300000,1.440000
4.450000,3.380000
4.950000,3.660000
5.550000,4.180000
6.150000,4.780000
7.000000,5.480000
8.150000,6.640000
9.050000,7.290000
9.800000,7.950000
10.250000,8.140000
12.000000,9.740000
12.020000,10.175000
