t_adr_sec,t_guide_sec
0.000000,0.000000
1.360000,1.360000
2.320000,1.460000
4.400000,3.330000
4.960000,3.670000
6.960000,5.450000
8.160000,6.650000
8.800000,7.100000
9.760000,7.980000
10.240000,8.190000
11.600000,9.370000
12.000000,9.800000
12.020000,10.285000
