t_adr_sec,t_guide_sec
0.000000,0.000000
0.300000,0.240000
0.780000,0.240000
1.560000,1.020000
2.250000,1.590000
2.400000,1.740000
2.520000,2.120000
4.620000,4.220000
4.830000,4.360000
5.970000,5.560000
6.000000,5.595000
6.030000,5.960000
8.580000,8.440000
9.330000,8.460000
9.510000,8.610000
10.770000,8.610000
