t_adr_sec,t_guide_sec
0.000000,0.000000
0.300000,0.240000
0.750000,0.240000
2.250000,1.590000
2.400000,1.740000
2.550000,2.150000
4.950000,4.480000
6.000000,5.595000
6.150000,6.080000
8.550000,8.410000
9.300000,8.460000
9.600000,8.610000
10.770000,8.610000
