t_adr_sec,t_guide_sec
0.000000,0.000000
0.500000,0.500000
0.550000,1.020000
0.650000,1.120000
1.700000,1.900000
3.600000,3.590000
3.950000,4.020000
6.900000,6.890000
9.700000,9.170000
11.300000,10.780000
11.350000,11.170000
